",movie_title,movie_lifetime"
"0,Avatar,""$2,923,706,026"""
"1,Avengers: Endgame,""$2,799,439,100"""
"2,Avatar: The Way of Water,""$2,320,250,281"""
"3,Titanic,""$2,264,750,694"""
"4,Star Wars: Episode VII - The Force Awakens,""$2,071,310,218"""
"5,Avengers: Infinity War,""$2,052,415,039"""
"6,Spider-Man: No Way Home,""$1,952,723,719"""
"7,Inside Out 2,""$1,698,765,616"""
"8,Jurassic World,""$1,671,537,444"""
"9,The Lion King,""$1,662,020,819"""
"10,The Avengers,""$1,520,538,536"""
"11,Furious 7,""$1,515,342,457"""
"12,Top Gun: Maverick,""$1,495,696,292"""
"13,Frozen II,""$1,453,683,476"""
"14,Barbie,""$1,446,938,421"""
"15,Avengers: Age of Ultron,""$1,405,018,048"""
"16,The Super Mario Bros. Movie,""$1,360,847,665"""
"17,Black Panther,""$1,349,926,083"""
"18,Harry Potter and the Deathly Hallows: Part 2,""$1,342,499,744"""
"19,Deadpool & Wolverine,""$1,338,073,645"""
"20,Star Wars: Episode VIII - The Last Jedi,""$1,334,407,706"""
"21,Jurassic World: Fallen Kingdom,""$1,310,469,037"""
"22,Frozen,""$1,306,450,154"""
"23,Iron Man 3,""$1,266,152,644"""
"24,Beauty and the Beast,""$1,266,115,964"""
"25,Incredibles 2,""$1,243,225,667"""
"26,The Fate of the Furious,""$1,236,009,236"""
"27,Minions,""$1,159,457,503"""
"28,Captain America: Civil War,""$1,155,046,416"""
"29,Aquaman,""$1,152,028,393"""
"30,The Lord of the Rings: The Return of the King,""$1,138,267,537"""
"31,Spider-Man: Far from Home,""$1,132,705,055"""
"32,Captain Marvel,""$1,131,416,446"""
"33,Transformers: Dark of the Moon,""$1,123,794,079"""
"34,The Dark Knight Rises,""$1,114,975,066"""
"35,Skyfall,""$1,108,594,137"""
"36,Transformers: Age of Extinction,""$1,105,261,713"""
"37,Jurassic Park,""$1,104,379,926"""
"38,Joker,""$1,078,958,629"""
"39,Star Wars: Episode IX - The Rise of Skywalker,""$1,077,022,372"""
"40,Toy Story 4,""$1,073,841,394"""
"41,Toy Story 3,""$1,067,316,101"""
"42,Pirates of the Caribbean: Dead Man's Chest,""$1,066,179,747"""
"43,Rogue One: A Star Wars Story,""$1,058,684,742"""
"44,Aladdin,""$1,054,304,000"""
"45,Pirates of the Caribbean: On Stranger Tides,""$1,046,721,266"""
"46,Star Wars: Episode I - The Phantom Menace,""$1,046,515,409"""
"47,Despicable Me 3,""$1,034,800,131"""
"48,Finding Dory,""$1,029,266,989"""
"49,Harry Potter and the Sorcerer's Stone,""$1,026,414,475"""
"50,Zootopia,""$1,025,521,689"""
"51,Alice in Wonderland,""$1,025,468,216"""
"52,The Hobbit: An Unexpected Journey,""$1,017,107,150"""
"53,The Dark Knight,""$1,009,053,678"""
"54,Jurassic World Dominion,""$1,001,978,080"""
"55,The Lion King,""$981,708,285"""
"56,Oppenheimer,""$975,594,978"""
"57,Despicable Me 2,""$970,766,005"""
"58,Despicable Me 4,""$969,126,452"""
"59,The Jungle Book,""$967,724,775"""
"60,Jumanji: Welcome to the Jungle,""$962,544,585"""
"61,The Hobbit: The Battle of the Five Armies,""$962,253,946"""
"62,Pirates of the Caribbean: At World's End,""$961,691,209"""
"63,Harry Potter and the Deathly Hallows: Part 1,""$960,897,696"""
"64,The Hobbit: The Desolation of Smaug,""$959,079,095"""
"65,Doctor Strange in the Multiverse of Madness,""$955,775,804"""
"66,Harry Potter and the Order of the Phoenix,""$942,862,581"""
"67,Finding Nemo,""$941,637,960"""
"68,Harry Potter and the Half-Blood Prince,""$941,055,851"""
"69,Minions: The Rise of Gru,""$940,203,765"""
"70,The Lord of the Rings: The Two Towers,""$938,242,927"""
"71,Shrek 2,""$932,406,549"""
"72,Bohemian Rhapsody,""$910,813,521"""
"73,The Battle at Lake Changjin,""$902,548,476"""
"74,Harry Potter and the Goblet of Fire,""$897,468,952"""
"75,Spider-Man 3,""$891,648,685"""
"76,The Lord of the Rings: The Fellowship of the Ring,""$888,195,122"""
"77,Ice Age: Dawn of the Dinosaurs,""$886,686,817"""
"78,Harry Potter and the Chamber of Secrets,""$882,546,027"""
"79,Moana 2,""$882,505,425"""
"80,Spider-Man: Homecoming,""$880,944,210"""
"81,Spectre,""$880,707,597"""
"82,Ice Age: Continental Drift,""$877,244,782"""
"83,The Secret Life of Pets,""$875,698,161"""
"84,Batman v Superman: Dawn of Justice,""$874,362,803"""
"85,Wolf Warrior 2,""$870,325,439"""
"86,The Hunger Games: Catching Fire,""$865,011,746"""
"87,Guardians of the Galaxy Vol. 2,""$863,756,903"""
"88,Black Panther: Wakanda Forever,""$859,208,836"""
"89,Inside Out,""$859,076,254"""
"90,Venom,""$856,085,161"""
"91,Thor: Ragnarok,""$855,301,806"""
"92,Star Wars: Episode III - Revenge of the Sith,""$850,035,635"""
"93,The Twilight Saga: Breaking Dawn - Part 2,""$848,593,948"""
"94,Guardians of the Galaxy Vol. 3,""$845,555,777"""
"95,Inception,""$839,030,630"""
"96,Transformers: Revenge of the Fallen,""$836,303,693"""
"97,Spider-Man,""$825,802,095"""
"98,Wonder Woman,""$823,970,682"""
"99,""Hi, Mom"",""$822,009,764"""
"100,Independence Day,""$817,400,891"""
"101,Fantastic Beasts and Where to Find Them,""$816,037,575"""
"102,Coco,""$814,641,172"""
"103,Harry Potter and the Prisoner of Azkaban,""$808,485,409"""
"104,Shrek the Third,""$808,308,862"""
"105,Jumanji: The Next Level,""$801,693,929"""
"106,E.T. the Extra-Terrestrial,""$797,307,407"""
"107,Pirates of the Caribbean: Dead Men Tell No Tales,""$795,922,298"""
"108,Mission: Impossible - Fallout,""$791,658,205"""
"109,2012,""$791,217,826"""
"110,Fast & Furious 6,""$788,683,342"""
"111,Indiana Jones and the Kingdom of the Crystal Skull,""$786,636,033"""
"112,Deadpool 2,""$785,896,632"""
"113,Spider-Man 2,""$784,543,400"""
"114,Deadpool,""$782,837,347"""
"115,Star Wars: Episode IV - A New Hope,""$775,398,507"""
"116,No Time to Die,""$774,153,007"""
"117,Guardians of the Galaxy,""$773,350,376"""
"118,The Batman,""$772,319,315"""
"119,Thor: Love and Thunder,""$760,928,081"""
"120,Fast & Furious Presents: Hobbs & Shaw,""$760,732,926"""
"121,The Da Vinci Code,""$760,006,945"""
"122,Maleficent,""$759,853,685"""
"123,The Hunger Games: Mockingjay - Part 1,""$759,159,711"""
"124,The Amazing Spider-Man,""$758,707,722"""
"125,Shrek Forever After,""$752,600,867"""
"126,Suicide Squad,""$749,200,054"""
"127,Madagascar 3: Europe's Most Wanted,""$746,921,274"""
"128,X-Men: Days of Future Past,""$746,045,700"""
"129,""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"",""$745,013,115"""
"130,Monsters University,""$743,559,645"""
"131,The Matrix Reloaded,""$741,847,937"""
"132,Interstellar,""$740,726,550"""
"133,Up,""$735,102,136"""
"134,F9: The Fast Saga,""$726,229,501"""
"135,Ne Zha,""$726,225,471"""
"136,Gravity,""$723,719,539"""
"137,The Amazing Spider-Man 2,""$716,891,708"""
"138,Dune: Part Two,""$714,444,358"""
"139,Captain America: The Winter Soldier,""$714,421,503"""
"140,The Twilight Saga: Breaking Dawn - Part 1,""$712,205,856"""
"141,The Twilight Saga: New Moon,""$711,048,123"""
"142,Dawn of the Planet of the Apes,""$710,644,566"""
"143,Transformers,""$709,709,780"""
"144,Fast X,""$704,875,015"""
"145,It,""$704,242,888"""
"146,The Wandering Earth,""$699,992,512"""
"147,The Twilight Saga: Eclipse,""$698,513,085"""
"148,The Hunger Games,""$695,220,619"""
"149,Mission: Impossible - Ghost Protocol,""$694,713,380"""
"150,Spider-Man: Across the Spider-Verse,""$690,824,738"""
"151,Detective Chinatown 3,""$686,257,563"""
"152,Mission: Impossible - Rogue Nation,""$682,716,636"""
"153,Forrest Gump,""$678,226,465"""
"154,Doctor Strange,""$677,796,833"""
"155,The Sixth Sense,""$672,806,432"""
"156,Full River Red,""$670,491,959"""
"157,Man of Steel,""$670,145,518"""
"158,Ice Age: The Meltdown,""$667,094,506"""
"159,Kung Fu Panda 2,""$665,692,281"""
"160,The Hunger Games: Mockingjay - Part 2,""$661,456,867"""
"161,Justice League,""$661,326,987"""
"162,Big Hero 6,""$657,870,525"""
"163,Fantastic Beasts: The Crimes of Grindelwald,""$655,755,901"""
"164,Pirates of the Caribbean: The Curse of the Black Pearl,""$654,264,546"""
"165,Men in BlackÂ³,""$654,213,485"""
"166,Star Wars: Episode II - Attack of the Clones,""$653,780,724"""
"167,Thor: The Dark World,""$644,783,140"""
"168,Moana,""$643,332,467"""
"169,Wonka,""$634,402,312"""
"170,Wicked,""$634,378,535"""
"171,Sing,""$634,338,409"""
"172,Kung Fu Panda,""$632,091,832"""
"173,The Incredibles,""$631,688,498"""
"174,The Martian,""$630,621,406"""
"175,Hancock,""$629,443,428"""
"176,Water Gate Bridge,""$626,571,697"""
"177,Fast Five,""$626,140,012"""
"178,Iron Man 2,""$623,933,331"""
"179,Ratatouille,""$623,729,380"""
"180,Ant-Man and the Wasp,""$622,674,139"""
"181,How to Train Your Dragon 2,""$621,537,519"""
"182,Logan,""$619,180,476"""
"183,The Lost World: Jurassic Park,""$618,638,999"""
"184,Casino Royale,""$616,577,552"""
"185,The Wandering Earth II,""$615,023,132"""
"186,The Passion of the Christ,""$612,060,372"""
"187,Mamma Mia!,""$611,452,132"""
"188,Life of Pi,""$609,016,565"""
"189,Ready Player One,""$607,874,422"""
"190,Transformers: The Last Knight,""$605,425,157"""
"191,Madagascar: Escape 2 Africa,""$603,900,354"""
"192,War of the Worlds,""$603,873,504"""
"193,Tangled,""$591,806,017"""
"194,Quantum of Solace,""$589,593,688"""
"195,Men in Black,""$589,390,539"""
"196,The Croods,""$587,266,745"""
"197,The Hangover Part II,""$586,764,305"""
"198,Iron Man,""$585,796,247"""
"199,I Am Legend,""$585,410,052"""
